Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Ticker,Dec 2011,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2018,Sep 2018,Dec 2018,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Dec 2005,Dec 2006,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015
Profit before tax,532,463,419,433,531,559,631,631,656,661,691,665,738,TORNTPHARM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,33%,33%,30%,34%,29%,31%,30%,29%,30%,31%,27%,25%,26%,TORNTPHARM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,354,312,292,287,378,386,443,449,457,453,503,498,548,TORNTPHARM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,10.46,9.22,8.63,8.48,11.17,11.41,13.09,13.27,13.50,13.39,14.86,14.71,16.19,TORNTPHARM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TORNTPHARM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,6510,6703,6443,6038,7328,6961,6366,6529,9034,7176,6499,6456,7906,TORNTPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,5450,5539,4999,4947,6143,5740,5322,5420,7176,5968,5388,5326,6423,TORNTPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,1060,1164,1444,1090,1185,1221,1044,1109,1858,1207,1112,1130,1483,TORNTPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,16%,17%,22%,18%,16%,18%,16%,17%,21%,17%,17%,18%,19%,TORNTPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,108,94,84,96,86,108,54,97,76,125,172,114,105,TORNTPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,186,215,228,189,227,247,235,233,260,272,276,236,212,TORNTPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,312,319,322,329,332,342,349,355,359,371,378,389,390,TORNTPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,671,725,977,668,711,741,513,617,1315,689,630,619,985,TORNTPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,25%,33%,29%,28%,25%,27%,27%,28%,24%,28%,22%,-74%,25%,TORNTPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,502,484,695,484,532,543,374,447,996,496,489,1077,742,TORNTPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,10.45,10.02,14.24,9.34,10.76,10.94,7.49,8.95,20.23,10.01,9.44,21.03,14.52,TORNTPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TORNTPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1803,1953,2303,2183,2628,2982,3467,3298,4104,4157,4657,4217,4883,TRENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1512,1697,1980,1980,2261,2526,2838,2828,3491,3514,3809,3566,4036,TRENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,292,256,323,203,367,457,629,470,613,643,847,651,848,TRENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,16%,13%,14%,9%,14%,15%,18%,14%,15%,15%,18%,15%,17%,TRENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,78,84,91,89,79,105,110,695,101,54,80,74,50,TRENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,95,91,91,92,92,95,99,33,32,33,37,38,40,TRENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,127,112,118,137,141,152,165,213,181,197,245,272,293,TRENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,147,137,204,64,212,314,475,919,501,467,646,416,565,TRENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,22%,42%,24%,30%,21%,27%,22%,23%,22%,28%,23%,25%,25%,TRENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,115,79,155,45,167,228,371,712,391,335,497,312,425,TRENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,3.67,2.62,4.70,1.52,4.88,6.60,10.53,19.81,11.04,9.53,13.99,8.95,12.09,TRENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TRENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,629,842,695,611,588,729,738,623,588,750,727,650,609,TTKPRESTIG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,549,724,615,531,527,649,653,545,533,678,648,598,569,TTKPRESTIG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,80,118,80,80,61,81,85,77,54,72,79,51,40,TTKPRESTIG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,13%,14%,12%,13%,10%,11%,12%,12%,9%,10%,11%,8%,7%,TTKPRESTIG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,7,9,13,17,21,18,18,19,21,20,17,-55,17,TTKPRESTIG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,2,1,2,3,3,3,3,5,4,5,4,4,4,TTKPRESTIG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,12,12,13,16,15,16,17,17,17,17,17,19,19,TTKPRESTIG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,73,114,78,78,64,80,83,75,55,70,75,-26,35,TTKPRESTIG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,26%,25%,26%,26%,26%,26%,23%,26%,26%,24%,63%,27%,TTKPRESTIG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,53,84,58,58,47,59,62,57,41,52,57,-42,26,TTKPRESTIG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,3.84,6.05,4.15,4.29,3.46,4.28,4.51,4.24,3.01,3.81,4.22,-2.93,1.92,TTKPRESTIG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TTKPRESTIG.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1265,1473,1768,1406,3176,1794,1676,2330,3069,,,,,TV18BRDCST.NS,,,,,1496,,,,,,,,,,,,1155,1308,1567,,,,,,,,,,,,,
Expenses +,1207,1433,1749,1329,3230,1992,1822,2491,3178,,,,,TV18BRDCST.NS,,,,,1242,,,,,,,,,,,,967,1066,1212,,,,,,,,,,,,,
Operating Profit,58,41,19,77,-54,-198,-146,-161,-109,,,,,TV18BRDCST.NS,,,,,254,,,,,,,,,,,,188,242,355,,,,,,,,,,,,,
OPM %,5%,3%,1%,5%,-2%,-11%,-9%,-7%,-4%,,,,,TV18BRDCST.NS,,,,,17%,,,,,,,,,,,,16%,18%,23%,,,,,,,,,,,,,
Other Income +,39,22,69,40,220,210,181,180,174,,,,,TV18BRDCST.NS,,,,,30,,,,,,,,,,,,34,27,38,,,,,,,,,,,,,
Interest,11,25,31,50,36,34,40,77,113,,,,,TV18BRDCST.NS,,,,,10,,,,,,,,,,,,10,9,9,,,,,,,,,,,,,
Depreciation,26,28,33,35,39,50,46,68,69,,,,,TV18BRDCST.NS,,,,,27,,,,,,,,,,,,29,29,28,,,,,,,,,,,,,
Profit before tax,60,10,24,33,89,-72,-50,-127,-117,,,,,TV18BRDCST.NS,,,,,247,,,,,,,,,,,,182,231,356,,,,,,,,,,,,,
Tax %,0%,-5%,-56%,40%,-2%,-9%,11%,8%,3%,,,,,TV18BRDCST.NS,,,,,11%,,,,,,,,,,,,11%,-0%,12%,,,,,,,,,,,,,
Net Profit +,60,10,38,20,91,-65,-56,-137,-120,,,,,TV18BRDCST.NS,,,,,221,,,,,,,,,,,,162,231,312,,,,,,,,,,,,,
EPS in Rs,0.20,0.03,0.24,0.21,0.26,-0.17,-0.07,-0.30,-0.29,,,,,TV18BRDCST.NS,,,,,0.84,,,,,,,,,,,,0.58,0.82,1.17,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TV18BRDCST.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,7316,8561,8066,8031,9056,9933,10114,9942,10314,11302,11035,11542,12210,TVSMOTOR.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,6420,7490,7055,6982,7852,8588,8639,8487,8884,9678,9402,9638,10407,TVSMOTOR.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,896,1071,1011,1049,1204,1345,1475,1455,1431,1624,1633,1904,1803,TVSMOTOR.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,12%,13%,13%,13%,13%,14%,15%,15%,14%,14%,15%,16%,15%,TVSMOTOR.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,31,30,8,67,87,51,12,-34,48,32,70,-57,40,TVSMOTOR.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,292,338,339,398,437,483,494,511,500,509,536,551,551,TVSMOTOR.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,199,212,216,232,227,237,242,263,241,259,258,292,315,TVSMOTOR.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,436,550,464,486,627,676,750,647,738,888,908,1004,977,TVSMOTOR.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,32%,32%,35%,31%,30%,38%,32%,36%,34%,34%,33%,31%,34%,TVSMOTOR.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,297,373,304,336,441,416,510,412,485,588,609,698,643,TVSMOTOR.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,6.43,8.13,6.33,7.07,9.14,8.13,10.08,8.15,9.70,11.80,11.91,13.64,12.84,TVSMOTOR.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,TVSMOTOR.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2439,1682,1613,1766,2275,1890,1824,2133,2475,2117,2000,2323,2864,UBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,2173,1463,1536,1712,2052,1706,1678,1991,2190,1890,1859,2136,2553,UBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,266,219,77,54,223,184,146,143,285,227,141,187,311,UBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,11%,13%,5%,3%,10%,10%,8%,7%,12%,11%,7%,8%,11%,UBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,10,14,-20,12,10,12,25,26,7,10,-16,8,11,UBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,1,1,2,1,2,1,2,2,2,2,3,6,11,UBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,58,52,50,51,51,51,52,58,58,57,61,57,63,UBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,218,181,5,13,180,144,117,110,233,178,61,132,248,UBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,26%,135%,27%,24%,26%,27%,26%,26%,26%,37%,26%,26%,UBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,162,134,-2,10,136,107,86,82,174,132,39,98,184,UBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,6.13,5.07,-0.07,0.37,5.15,4.06,3.23,3.07,6.56,5.00,1.45,3.69,6.95,UBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,UBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue +,3851,4185,4627,4987,5224,5219,5552,5860,6024,6078,6220,6745,,UCOBANK.NS,,,,,3773,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,2202,2415,2675,3015,3215,3302,3564,3672,3770,3778,3842,4046,,UCOBANK.NS,,,,,2120,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1402,1766,1754,2025,2295,1924,2072,2507,2227,2355,2567,3055,,UCOBANK.NS,,,,,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Profit,248,4,198,-53,-286,-7,-84,-319,27,-54,-190,-356,,UCOBANK.NS,,,,,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Margin %,6%,0%,4%,-1%,-5%,-0%,-2%,-5%,0%,-1%,-3%,-5%,,UCOBANK.NS,,,,,-3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,-54,780,823,960,633,647,861,1125,835,993,1186,1392,,UCOBANK.NS,,,,,589,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,,UCOBANK.NS,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,193,784,1021,907,347,640,777,806,862,939,996,1036,,UCOBANK.NS,,,,,484,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,36%,36%,36%,36%,36%,37%,35%,35%,36%,36%,36%,37%,,UCOBANK.NS,,,,,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,117,497,654,557,225,404,505,538,555,607,640,666,,UCOBANK.NS,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,0.10,0.42,0.55,0.47,0.19,0.34,0.42,0.45,0.46,0.51,0.54,0.53,,UCOBANK.NS,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross NPA %,7.42%,6.58%,5.63%,4.78%,4.48%,4.14%,3.85%,3.46%,3.32%,3.18%,2.91%,2.69%,,UCOBANK.NS,,,,,7.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net NPA %,2.49%,1.99%,1.66%,1.29%,1.18%,1.11%,0.98%,0.89%,0.78%,0.73%,0.63%,0.50%,,UCOBANK.NS,,,,,2.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,UCOBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,15164,13893,15521,18662,17737,16012,16740,20419,18819,15635,17779,23063,21275,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,12069,12028,13185,15340,14688,13461,13485,16305,15801,13618,14885,18456,16869,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,3095,1865,2336,3322,3049,2551,3255,4114,3017,2017,2893,4608,4406,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,20%,13%,15%,18%,17%,16%,19%,20%,16%,13%,16%,20%,21%,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,110,146,130,123,177,171,146,73,83,221,247,93,142,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,216,200,215,191,211,234,262,261,326,317,457,475,433,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,695,708,723,762,749,798,783,815,918,904,993,1125,1107,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,2293,1103,1527,2492,2267,1690,2355,3111,1857,1017,1691,3101,3008,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,31%,31%,30%,33%,25%,24%,25%,27%,20%,19%,19%,20%,26%,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,1582,759,1063,1670,1690,1280,1775,2259,1493,825,1363,2475,2221,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,54.87,26.18,36.66,57.71,58.49,44.39,61.55,78.22,51.78,28.40,47.09,84.23,75.54,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ULTRACEMCO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue +,18256,19778,20966,22163,23613,24732,25521,26510,26527,26887,27135,27869,27475,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,10598,11384,12242,13810,14664,15498,16236,16966,17004,17720,17765,18245,18231,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,8442,9598,8817,10041,7978,7962,8012,9365,9367,8686,8096,9673,8844,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Profit,-784,-1204,-93,-1688,971,1271,1273,179,156,480,1274,-49,400,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Margin %,-4%,-6%,-0%,-8%,4%,5%,5%,1%,1%,2%,5%,-0%,1%,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,2948,3697,3669,5601,4209,4221,4281,5102,4799,5926,4614,6223,4869,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,2165,2493,3576,3912,5180,5492,5554,5281,4954,6406,5889,6175,5269,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,28%,26%,37%,28%,37%,35%,35%,37%,27%,26%,22%,19%,21%,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,1583,1853,2264,2812,3272,3572,3625,3328,3642,4751,4623,5011,4428,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,2.32,2.71,3.31,4.11,4.79,4.82,4.89,4.36,4.77,6.22,6.06,6.56,5.80,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross NPA %,,,,,,,,,,,,,,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,UNIONBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2555,2877,2915,2889,3093,3621,3523,3794,3818,4245,4184,4528,4489,UNOMINDA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,2289,2558,2577,2570,2763,3220,3143,3320,3410,3762,3727,4002,3946,UNOMINDA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,266,318,338,319,330,402,380,474,408,482,457,527,543,UNOMINDA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,10%,11%,12%,11%,11%,11%,11%,12%,11%,11%,11%,12%,12%,UNOMINDA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,31,45,29,44,38,62,52,94,48,59,49,62,59,UNOMINDA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,17,19,13,21,25,27,29,32,36,46,47,41,44,UNOMINDA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,99,107,115,108,119,125,133,149,142,151,158,165,159,UNOMINDA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,181,237,240,234,224,311,270,387,277,345,301,384,399,UNOMINDA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,17%,23%,27%,17%,20%,24%,24%,22%,24%,23%,15%,25%,23%,UNOMINDA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,150,182,174,194,180,238,205,302,211,266,254,289,309,UNOMINDA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,2.43,2.97,2.83,3.19,3.01,3.93,3.37,5.01,3.46,4.27,4.05,4.64,5.06,UNOMINDA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,UNOMINDA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,10821,12507,13679,16569,8963,10170,9887,14078,9067,11090,10907,15573,9216,UPL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,8675,10090,10795,13847,7747,9049,9820,12230,7998,9873,9229,12409,7820,UPL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,2146,2417,2884,2722,1216,1121,67,1848,1069,1217,1678,3164,1396,UPL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,20%,19%,21%,16%,14%,11%,1%,13%,12%,11%,15%,20%,15%,UPL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,25,35,129,302,58,18,134,66,49,103,94,-168,152,UPL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,519,644,894,906,700,871,1191,1090,913,1070,730,914,1007,UPL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,588,608,624,727,636,657,676,794,660,697,688,705,731,UPL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,1064,1200,1495,1391,-62,-389,-1666,30,-455,-447,354,1377,-190,UPL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,6%,19%,9%,22%,-265%,-25%,-4%,367%,16%,31%,-141%,22%,-7%,UPL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,1005,969,1360,1080,102,-293,-1607,-80,-527,-585,853,1079,-176,UPL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,10.39,9.64,12.87,9.38,1.97,-2.24,-14.41,0.47,-4.55,-5.25,9.81,10.61,-1.04,UPL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,UPL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,293,435,295,301,468,404,449,416,529,538,418,376,547,UTIAMC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,191,165,178,179,168,173,176,188,178,190,185,207,207,UTIAMC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,103,270,117,122,300,232,273,228,351,348,233,169,340,UTIAMC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,35%,62%,40%,41%,64%,57%,61%,55%,66%,65%,56%,45%,62%,UTIAMC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,13,4,-2,8,1,2,1,4,5,2,3,0,2,UTIAMC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,2,2,2,2,3,3,3,3,3,3,3,3,3,UTIAMC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,10,10,10,10,10,10,10,12,11,11,11,12,12,UTIAMC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,104,262,103,117,288,220,261,218,341,336,221,154,326,UTIAMC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,12%,23%,41%,27%,19%,17%,22%,17%,20%,22%,22%,34%,22%,UTIAMC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,92,202,60,86,234,183,203,181,274,263,174,102,254,UTIAMC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,7.21,15.73,4.76,6.75,18.46,14.39,14.59,12.79,19.97,18.76,11.78,6.83,18.50,UTIAMC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,UTIAMC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,4955,3177,2214,3893,5611,3871,2668,4317,7197,4805,3689,5567,7017,VBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,3704,2478,1907,3095,4101,2989,2249,3329,5206,3654,3110,4304,5020,VBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,1251,699,307,798,1511,882,418,989,1991,1151,579,1263,1998,VBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,25%,22%,14%,20%,27%,23%,16%,23%,28%,24%,16%,23%,28%,VBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,10,11,9,10,42,19,9,8,44,24,45,28,77,VBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,46,45,47,63,69,62,74,94,129,119,109,41,37,VBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,153,153,180,172,172,171,166,188,242,257,261,273,306,VBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,1062,511,90,573,1311,667,188,716,1663,800,254,978,1732,VBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,24%,23%,9%,24%,23%,23%,24%,23%,24%,21%,23%,25%,23%,VBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,802,395,82,439,1005,514,144,548,1262,629,196,731,1325,VBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,2.42,1.17,0.23,1.32,3.06,1.54,0.41,1.65,3.86,1.91,0.55,2.15,3.89,VBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,VBL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,38622,36654,34102,37930,33733,38945,35541,35509,35764,37634,39115,40455,37824,VEDL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,28425,28955,27035,28471,27313,27466,27010,26741,25819,27806,28011,28989,27906,VEDL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
